Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Max Planck Institute for the Science of Human History "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Period covered by Report:	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2014-01-01 to 2014-12-31	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Date run:	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2015-06-12	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2014	Feb-2014	Mar-2014	Apr-2014	May-2014	Jun-2014	Jul-2014	Aug-2014	Sep-2014	Oct-2014	Nov-2014	Dec-2014
Dialectologia et Geolinguistica (dig)	De Gruyter	De Gruyter Online	""	dig	0942-4040	1867-0903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Discrete Mathematics and Applications (dma)	De Gruyter	De Gruyter Online	""	dma	0924-9265	1569-3929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drug Metabolism and Drug Interactions (dmdi)	De Gruyter	De Gruyter Online	""	dmdi	0792-5077	2191-0162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Economic Quality Control (eqc)	De Gruyter	De Gruyter Online	""	eqc	0940-5151	1869-6147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Editio (edit)	De Gruyter	De Gruyter Online	""	edit	0931-3079	1865-9446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etruscan Studies (etst)	De Gruyter	De Gruyter Online	""	etst	1080-1960	2163-8217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European Company and Financial Law Review (ecfr)	De Gruyter	De Gruyter Online	""	ecfr	1613-2548	1613-2556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European Journal of Nanomedicine (ejnm)	De Gruyter	De Gruyter Online	""	ejnm	1662-5986	1662-596X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European Review of Contract Law (ercl)	De Gruyter	De Gruyter Online	""	ercl	1614-9920	1614-9939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European Tort Law Yearbook (etly)	De Gruyter	De Gruyter Online	""	etly	2190-7773	2190-7781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
